Book Name,Author,Publication Date,ISBN
The Importance of Being Earnest,No Information,2014,OL37044586M
As You Like It,No Information,2021-06-08,OL32595130M
Pygmalion,George Bernard Shaw,2019,OL37044726M
Much Ado About Nothing,No Information,xxxx,OL26604596M
The Merchant of Venice,No Information,2000-07-01,OL32239123M
Shakespeare's Comedy of A Midsummer-Night's Dream,No Information,1905,OL32244689M
"Mr. William Shakespeares Comedies, Histories & Tragedies",William Shakespeare,1623,OL623910M
The Complete Dramatic and Poetical Works of William Shakespeare,No Information,19--?,OL24735656M
A clockwork orange,Anthony Burgess,1963,OL5877742M
Life on the Mississippi,No Information,1969,OL31960162M
Art of poetry,No Information,1705,OL24633152M
"TWELFE NIGHT, OR, WHAT YOU WILL",No Information,1901,OL32250216M
The Taming of the Shrew,No Information,1997-11-01,OL32238759M
All's Well That Ends Well,No Information,1998-11-01,OL32234941M
The winter's tale,No Information,No Information,OL24970303M
Loues labours lost,William Shakespeare,1631,OL25604158M
Our man in Havana,Graham Greene,1958,OL6265401M
Shakespeare's The comedy of errors,No Information,1881,OL24875132M
Frog and Toad All Year,No Information,1976,OL32678992M
Bunnicula,Deborah Howe,1986,OL15079540M
